Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"X Chu, Q Liu, GG Tian",Does control?ownership divergence impair market liquidity in an emerging market? Evidence from C hina,2015,Accounting & Finance,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/acfi.12073,"https://scholar.google.com/scholar?cites=5984140377155819931&as_sdt=2005&sciodt=0,5&hl=en",11,23/03/2024 21:36,,10.1111/acfi.12073,,,,,,,35,3.89,12,3,9,This paper examines how institutional characteristics of emerging economies influence the effect of control?ownership divergence on market liquidity. We find that the divergence is …,https://onlinelibrary.wiley.com/doi/pdf/10.1111/acfi.12073,"https://scholar.google.com/scholar?q=related:m9lxuvfvC1MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"M Briere, A Szafarz",Factors and Sectors in Asset Allocation: Stronger Together?,2018,Advances in the Practice of Public Investment Management,Springer,https://link.springer.com/chapter/10.1007/978-3-319-90245-6_11,"https://scholar.google.com/scholar?cites=14193648540408228213&as_sdt=2005&sciodt=0,5&hl=en",9,07/04/2024 15:20,BOOK,10.1007/978-3-319-90245-6_11,,,,,,,9,1.5,5,2,6,This chapter compares and contrasts factor investing and sector investing and then seeks a compromise by optimally exploiting the advantages of both styles. Our results show that …,https://papers.ssrn.com/Sol3/Delivery.cfm/SSRN_ID3183915_code910983.pdf?abstractid=2965346,"https://scholar.google.com/scholar?q=related:dSnGdSX4-cQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"K Amoa-Gyarteng, S Dhliwayo",The impact of capital structure on profitability of nascent small and medium enterprises in Ghana,2022,African Journal of Business and Economic Research,journals.co.za,https://journals.co.za/doi/pdf/10.31920/1750-4562/2022/v17n2a12,"https://scholar.google.com/scholar?cites=6366994341533999007&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:21,,10.31920/1750-4562/2022/v17n2a12,,,,,,,10,5.0,5,2,2,"The importance of small and medium enterprises cannot be overstated; however, most of them fail in their early stages. When small businesses are profitable, their staying power is …",https://www.researchgate.net/profile/Karikari-Amoa-Gyarteng/publication/362158596_The_Impact_of_Capital_Structure_on_Profitability_of_Nascent_Small_and_Medium_Enterprises_in_Ghana/links/62ebf9e345322476937cbd2c/The-Impact-of-Capital-Structure-on-Profitability-of-Nascent-Small-and-Medium-Enterprises-in-Ghana.pdf,"https://scholar.google.com/scholar?q=related:n18Orp4bXFgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"A Bignotti, I Le Roux",Discovering the entrepreneurial endowment of the youth,2018,African Journal of Economic and Management Studies,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/AJEMS-02-2016-0020/full/html,"https://scholar.google.com/scholar?cites=18067844461032323751&as_sdt=2005&sciodt=0,5&hl=en",14,23/03/2024 21:38,,10.1108/AJEMS-02-2016-0020,,,,,,,17,2.83,9,2,6,"Purpose Entrepreneurship is considered as a possible solution to youth unemployment, and the number of initiatives fostering youth entrepreneurship has multiplied accordingly, also in …",https://repository.up.ac.za/bitstream/handle/2263/65429/Bignotti_Discovering_2018.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:pzrXTM_gvfoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
54,"GM Cogliati, S Paleari, S Vismara",IPO pricing: growth rates implied in offer prices,2011,Annals of Finance,Springer,https://link.springer.com/article/10.1007/s10436-010-0170-6,"https://scholar.google.com/scholar?cites=11205335584150567955&as_sdt=2005&sciodt=0,5&hl=en",29,23/03/2024 21:21,,10.1007/s10436-010-0170-6,,,,,,,54,4.15,18,3,13,This paper studies the valuation of companies going public and defines a methodology to infer the growth expectations implicit in the prices of their Initial Public Offering (IPO). The …,https://www.academia.edu/download/40819637/Cogliati_Paleari_Vismara_format.pdf,"https://scholar.google.com/scholar?q=related:E7xWalhZgZsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"B Sarpong?Danquah, M Adusei…",Effect of board gender diversity on the financial performance of microfinance institutions: Does judicial efficiency matter?,2023,Annals of Public and Cooperative Economics,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/apce.12396,"https://scholar.google.com/scholar?cites=11074325850700281580&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:22,,10.1111/apce.12396,,,,,,,11,11.0,4,3,1,The impact of board gender diversity on the financial performance of firms is not known. This is because empirical investigations have yielded inconclusive outcomes. This study …,,"https://scholar.google.com/scholar?q=related:7Hbq2a_or5kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"A Aytaç Emin, B Dalg?ç, T Azrak",Constructing a banking fragility index for Islamic banks: definition impact on the predictive power of an early warning system,2021,Applied Economics Letters,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13504851.2020.1834497,"https://scholar.google.com/scholar?cites=5865290713581100502&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:22,,10.1080/13504851.2020.1834497,,,,,,,6,2.0,2,3,3,This study aims to construct a banking sector fragility index for Islamic banks that gives substantial predictive power results. We develop various banking sector fragility indices …,https://www.researchgate.net/profile/Tawfik-Azrak/publication/344768137_Constructing_a_banking_fragility_index_for_Islamic_banks_definition_impact_on_the_predictive_power_of_an_early_warning_system/links/62d121c8eb4df71b51b04117/Constructing-a-banking-fragility-index-for-Islamic-banks-definition-impact-on-the-predictive-power-of-an-early-warning-system.pdf,"https://scholar.google.com/scholar?q=related:1h1mD9SyZVEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
97,"SA Sabir, HB Mohammad, ...",The role of overconfidence and past investment experience in herding behaviour with a moderating effect of financial literacy: evidence from Pakistan stock …,2019,Asian Economic and Social Society,academia.edu,https://www.academia.edu/download/72879728/e098943589c1091d52f7f51974ca0e32c514.pdf,"https://scholar.google.com/scholar?cites=4392375705440484390&as_sdt=2005&sciodt=0,5&hl=en",1,23/03/2024 21:34,PDF,,,,,,,,97,19.4,32,3,5,Contribution/Originality: This study is a pioneer study that examines the influence of financial literacy on the relationship of overconfidence and past investment experience with herding …,https://www.academia.edu/download/72879728/e098943589c1091d52f7f51974ca0e32c514.pdf,"https://scholar.google.com/scholar?q=related:JvzVqm7a9DwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"AT Doan, AT Le, Q Tran","Economic uncertainty, ownership structure and small and medium enterprises performance",2020,Australian Economic Papers,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8454.12174,"https://scholar.google.com/scholar?cites=17256659065737114671&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 16:19,,10.1111/1467-8454.12174,,,,,,,34,8.5,11,3,4,This paper investigates the effect of economic uncertainty on the performance of small and medium enterprises (SMEs) over the period 2007–2016. This paper also examines the …,,"https://scholar.google.com/scholar?q=related:L_RIl_33e-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
77,"JM Díez-Esteban, JB Farinha, ...",Are religion and culture relevant for corporate risk-taking? International evidence,2019,BRQ Business Research Quarterly,Elsevier,https://www.sciencedirect.com/science/article/pii/S2340943618302330,"https://scholar.google.com/scholar?cites=11312563972479410091&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:38,HTML,,,,,,,,77,15.4,26,3,5,"Using a large sample of firms from 37 countries over the period of 2007–2015, we empirically analyse the impact of religion and national culture characteristics on the level of …",https://www.sciencedirect.com/science/article/pii/S2340943618302330,"https://scholar.google.com/scholar?q=related:q1-EFv9M_pwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"K Anouar, N Aubert",Does the catering theory of dividend apply to the French listed firms?,2016,Bankers Markets & Investors,shs.hal.science,https://shs.hal.science/halshs-01401867/,"https://scholar.google.com/scholar?cites=2440924306203531930&as_sdt=2005&sciodt=0,5&hl=en",6,07/04/2024 15:25,,,,,,,,,8,1.0,4,2,8,This paper tests the catering theory of dividend in the French market. It investigates how prevailing investor's demand for dividend payers proxied by the dividend premia affects the …,https://shs.hal.science/halshs-01401867/file/Anouar%20Aubert%202016.pdf,"https://scholar.google.com/scholar?q=related:mtrgUrnn3yEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
16,"FE Racicot, WF Rentz, A Kahl, O Mesly",Examining the dynamics of illiquidity risks within the phases of the business cycle,2019,Borsa Istanbul Review,Elsevier,https://www.sciencedirect.com/science/article/pii/S221484501830228X,"https://scholar.google.com/scholar?cites=5559731433574871666&as_sdt=2005&sciodt=0,5&hl=en",10,07/04/2024 15:24,HTML,,,,,,,,16,3.2,4,4,5,Abstract The Fama-French (FF) five-factor model is cast into a dynamic setting to capture the impact of illiquidity over the phases of the business cycle on the returns of the passive FF …,https://www.sciencedirect.com/science/article/pii/S221484501830228X,"https://scholar.google.com/scholar?q=related:crLNOEgiKE0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"A Stevenot, L Guery, G Wood, ...",Country of origin effects and new financial actors: Private equity investment and work and employment practices of French firms,2018,British Journal of Industrial Relations,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjir.12284,"https://scholar.google.com/scholar?cites=8524783610469171665&as_sdt=2005&sciodt=0,5&hl=en",7,23/03/2024 21:50,,10.1111/bjir.12284,,,,,,,12,2.0,3,4,6,"This is a study of the effects of alternative investors on a range of work and employment practices in France, paying specific attention to whether investors are indigenous or not. We …",https://repository.essex.ac.uk/20495/1/BJIR%20Country%20of%20Origin%20Effects%20and%20New%20Financial%20Actors%20V3%20-clean-%2008.09.17.pdf,"https://scholar.google.com/scholar?q=related:0UEWCYcdTnYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
665,"C Revelli, JL Viviani",Financial performance of socially responsible investing (SRI): what have we learned? A meta?analysis,2015,Business Ethics,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/beer.12076,"https://scholar.google.com/scholar?cites=8812101512277944483&as_sdt=2005&sciodt=0,5&hl=en",1,23/03/2024 21:49,,10.1111/beer.12076,,,,,,,665,73.89,333,2,9,"With a meta?analysis of 85 studies and 190 experiments, the authors test the relationship between socially responsible investing (SRI) and financial performance to determine …",https://www.academia.edu/download/51253528/Financial_performance_of_socially_respon20170108-1649-t6ub9c.pdf,"https://scholar.google.com/scholar?q=related:o2gCDKPfSnoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
46,"R Ur Rehman, J Zhang, J Uppal, ...",Are environmental social governance equity indices a better choice for investors? An Asian perspective,2016,Business Ethics,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/beer.12127,"https://scholar.google.com/scholar?cites=4548297184320545035&as_sdt=2005&sciodt=0,5&hl=en",13,23/03/2024 21:49,,10.1111/beer.12127,,,,,,,46,5.75,12,4,8,"This article examines the risk and return profiles of stock indices composed of companies meeting environmental, social and governance (ESG) screening criteria [such as the Dow …",,"https://scholar.google.com/scholar?q=related:C-FV9DDMHj8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
57,"Y Zhang, S Nadarajah",A review of backtesting for value at risk,2018,Communications in Statistics - Theory and Methods ,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/03610926.2017.1361984,"https://scholar.google.com/scholar?cites=5446145614539865309&as_sdt=2005&sciodt=0,5&hl=en",1,23/03/2024 21:43,,10.1080/03610926.2017.1361984,,,,,,,57,9.5,29,2,6,"There have been many backtesting methods proposed for value at risk. Yet they have rarely been applied in practice. Here, we provide a comprehensive review of all of the recent …",,"https://scholar.google.com/scholar?q=related:3Tyz3ZSYlEsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,H Tchakoute Tchuigoua,Governance effectiveness and earnings quality: Evidence from microfinance institutions,2018,Comptabilité Contrôle Audit,cairn.info,https://www.cairn.info/revue-comptabilite-controle-audit-2018-2-page-73.htm,"https://scholar.google.com/scholar?cites=3868054920677320317&as_sdt=2005&sciodt=0,5&hl=en",14,07/04/2024 15:22,HTML,,,,,,,,11,1.83,11,1,6,Is governance relevant to mitigate earnings management in microfinance institutions (MFIs)? That is the question this article attempts to answer. We study a pooled sample of 345 …,https://www.cairn.info/revue-comptabilite-controle-audit-2018-2-page-73.htm,"https://scholar.google.com/scholar?q=related:fWas3nQXrjUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,J Zha Giedt,Economic consequences of announcing strategic alternatives,2023,Contemporary Accounting Research,Wiley Online Library,https://onlinelibrary.wiley.com/doi/full/10.1111/1911-3846.12880,"https://scholar.google.com/scholar?cites=4375852474375400362&as_sdt=2005&sciodt=0,5&hl=en",8,07/04/2024 15:23,,,,,,,,,7,0.88,7,1,8,"This paper documents the consequences of publicly announcing “strategic alternatives,” whereby the company reveals its decision to explore a potential sale or merger. The …",https://mpra.ub.uni-muenchen.de/81356/2/MPRA_paper_81356.pdf,"https://scholar.google.com/scholar?q=related:quuoJKQmujwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"A Ortolano, E Angelini",Green bonds capital returns: the impact of market and macroeconomic variables,2021,Contemporary Issues in Sustainable Finance,Springer,https://link.springer.com/chapter/10.1007/978-3-030-65133-6_4,"https://scholar.google.com/scholar?cites=10052406602924329087&as_sdt=2005&sciodt=0,5&hl=en",7,07/04/2024 15:24,,10.1007/978-3-030-65133-6_4,,,,,,,5,1.67,3,2,3,"This chapter is an investigation on the determinants of Green Bonds capital returns, with a focus on market and macroeconomic variables. These instruments are showing an …",,"https://scholar.google.com/scholar?q=related:f4gYoYtSgYsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"M La Torre, H Chiappini",Contemporary issues in sustainable finance,2020,Contemporary Issues in Sustainable Finance,Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-40248-8.pdf,"https://scholar.google.com/scholar?cites=14504943842877712133&as_sdt=2005&sciodt=0,5&hl=en",10,07/04/2024 15:24,,10.1007/978-3-030-40248-8,,,,,,,5,1.25,3,2,4,"ThePalgrave Studies in Impact Finance series provides a valuable scientific 'hub'for researchers, professionals and policy makers involved in Impact finance and related topics …",https://www.researchgate.net/profile/Alessandra-Ortolano/publication/350865571_Green_Bonds_Capital_Returns_The_Impact_of_Market_and_Macroeconomic_Variables/links/62a225e6a3fe3e3df86af958/Green-Bonds-Capital-Returns-The-Impact-of-Market-and-Macroeconomic-Variables.pdf,"https://scholar.google.com/scholar?q=related:BSe3GZPpS8kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
202,"N Hermes, M Hudon",Determinants of the performance of microfinance institutions: A systematic review,2019,Contemporary Topics in Finance: A Collection of Literature Surveys,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119565178.ch10,"https://scholar.google.com/scholar?cites=15449084775645994291&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:22,,10.1002/9781119565178.ch10,,,,,,,202,40.4,101,2,5,This chapter focuses on the literature that discusses the performance of microfinance institutions (MFIs). It provides a systematic overview of research that analyses the …,https://research.rug.nl/files/61956272/2018008_EEF_def.pdf,"https://scholar.google.com/scholar?q=related:M11GLcAsZtYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"S Ben Saad, L Belkacem",How does corporate social responsibility influence firm financial performance?,2022,Corporate Governance,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/CG-10-2020-0467/full/html,"https://scholar.google.com/scholar?cites=15804093797776372333&as_sdt=2005&sciodt=0,5&hl=en",4,23/03/2024 21:49,,10.1108/CG-10-2020-0467,,,,,,,26,13.0,13,2,2,"Purpose This paper has three main purposes. First, this paper aims to study the effect of corporate social responsibility (CSR) on firm financial performance. Second, this study aims …",,"https://scholar.google.com/scholar?q=related:bTJqTZNrU9sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"M Goyer, DK Jung",Diversity of institutional investors and foreign blockholdings in France: The evolution of an institutionally hybrid economy,2011,Corporate Governance: An International Review,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8683.2011.00880.x,"https://scholar.google.com/scholar?cites=6403373649103660444&as_sdt=2005&sciodt=0,5&hl=en",9,07/04/2024 16:19,,10.1111/j.1467-8683.2011.00880.x,,,,,,,42,3.23,21,2,13,ABSTRACT Manuscript Type: Empirical Research Question/Issue: What are some of the key factors that facilitate/constrain the acquisition of concentrated equity stakes (> 5 per cent) by …,https://www.researchgate.net/profile/Michel-Goyer/publication/227710323_Diversity_of_Institutional_Investors_and_Foreign_Blockholdings_in_France_The_Evolution_of_an_Institutionally_Hybrid_Economy/links/6249972d57084c718b834b44/Diversity-of-Institutional-Investors-and-Foreign-Blockholdings-in-France-The-Evolution-of-an-Institutionally-Hybrid-Economy.pdf,"https://scholar.google.com/scholar?q=related:nKXrRmha3VgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
91,"S Bonini, S Alkan, A Salvi",The effects of venture capitalists on the governance of firms,2012,Corporate Governance: An …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8683.2011.00888.x,"https://scholar.google.com/scholar?cites=17429977089580149689&as_sdt=2005&sciodt=0,5&hl=en",20,23/03/2024 21:21,,10.1111/j.1467-8683.2011.00888.x,,,,,,,91,7.58,30,3,12,ABSTRACT Manuscript Type: Empirical Research Question/Issue: What determines venture capitalists influence on the governance of firms? How do venture capitalists shape the …,https://air.unimi.it/bitstream/2434/782428/3/VCGovernanceCorpGovFullRevisedV11finalComplete.pdf,"https://scholar.google.com/scholar?q=related:uSufo9C34_EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"J Siepel, P Nightingale","Anglo-Saxon governance: Similarities, difference and outcomes in a financialised world",2014,Critical Perspectives on Accounting,Elsevier,https://www.sciencedirect.com/science/article/pii/S104523541200127X,"https://scholar.google.com/scholar?cites=14076646826738355713&as_sdt=2005&sciodt=0,5&hl=en",28,23/03/2024 21:21,,,,,,,,,42,4.2,21,2,10,"The increasing pervasiveness of financial markets across the global economy has been identified in the literature with the spread of 'Anglo-Saxon capitalism', reflecting the notion …",,"https://scholar.google.com/scholar?q=related:AY5eKLVLWsMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
27,"L Rüschendorf, S Vanduffel",On the construction of optimal payoffs,2020,Decisions in Economics and Finance,Springer,https://link.springer.com/article/10.1007/s10203-019-00272-9,"https://scholar.google.com/scholar?cites=11705540423054310400&as_sdt=2005&sciodt=0,5&hl=en",5,23/03/2024 21:37,,10.1007/s10203-019-00272-9,,,,,,,27,6.75,14,2,4,"In the framework of continuous-time market models with specified pricing density, optimal payoffs under increasing law-invariant preferences are known to be anti-monotonic with the …",https://www.researchgate.net/profile/Steven-Vanduffel/publication/319531613_On_the_Construction_of_Optimal_Payoffs/links/5d115812458515c11cf5fbb1/On-the-Construction-of-Optimal-Payoffs.pdf,"https://scholar.google.com/scholar?q=related:ALwgBP9ucqIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"C Bernard, Y Liu, N MacGillivray, J Zhang",Bounds on capital requirements for bivariate risk with given marginals and partial information on the dependence,2013,Dependence Modeling,degruyter.com,https://www.degruyter.com/document/doi/10.2478/demo-2013-0002/html,"https://scholar.google.com/scholar?cites=8297050589725153290&as_sdt=2005&sciodt=0,5&hl=en",19,23/03/2024 21:37,,10.2478/demo-2013-0002,,,,,,,23,2.09,6,4,11,Abstract Nelsen et al.[20] find bounds for bivariate distribution functions when there are constraints on the values of its quartiles. Tankov [25] generalizes this work by giving explicit …,https://www.degruyter.com/document/doi/10.2478/demo-2013-0002/pdf,"https://scholar.google.com/scholar?q=related:ClgDPI0LJXMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
68,"M Braione, NK Scholtes",Forecasting value-at-risk under different distributional assumptions,2016,Econometrics,mdpi.com,https://www.mdpi.com/2225-1146/4/1/3,"https://scholar.google.com/scholar?cites=650652843644824604&as_sdt=2005&sciodt=0,5&hl=en",7,23/03/2024 21:43,HTML,,,,,,,,68,8.5,34,2,8,"Financial asset returns are known to be conditionally heteroskedastic and generally non-normally distributed, fat-tailed and often skewed. These features must be taken into account …",https://www.mdpi.com/2225-1146/4/1/3,"https://scholar.google.com/scholar?q=related:HCyMYVCVBwkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"JP Bouchaud, D Challet",Why have asset price properties changed so little in 200 years,2017,Econophysics and Sociophysics: Recent Progress and Future Directions,Springer,https://link.springer.com/chapter/10.1007/978-3-319-47705-3_1,"https://scholar.google.com/scholar?cites=10480492847168844607&as_sdt=2005&sciodt=0,5&hl=en",11,23/03/2024 21:50,,10.1007/978-3-319-47705-3_1,,,,,,,14,2.0,7,2,7,We first review empirical evidence that asset prices have had episodes of large fluctuations and been inefficient for at least 200 years. We briefly review recent theoretical results as well …,https://arxiv.org/pdf/1605.00634,"https://scholar.google.com/scholar?q=related:P3OFarcwcpEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
93,"GS Uddin, JA Hernandez, SJH Shahzad, A Hedström",Multivariate dependence and spillover effects across energy commodities and diversification potentials of carbon assets,2018,Energy Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140988318300513,"https://scholar.google.com/scholar?cites=4885630429590151102&as_sdt=2005&sciodt=0,5&hl=en",2,23/03/2024 21:43,,,,,,,,,93,15.5,23,4,6,"In a first step, we model the multivariate tail dependence structure and spillover effects across energy commodities such as crude oil, natural gas, ethanol, heating oil, coal and …",,"https://scholar.google.com/scholar?q=related:vl-Pk_0-zUMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
40,"Y Lyu, P Wang, Y Wei, R Ke",Forecasting the VaR of crude oil market: do alternative distributions help?,2017,Energy Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140988317302098,"https://scholar.google.com/scholar?cites=5645739371042056253&as_sdt=2005&sciodt=0,5&hl=en",8,23/03/2024 21:43,,,,,,,,,40,5.71,10,4,7,Accurate modeling of the empirical distribution of crude oil market returns is extremely important in estimating risk measures. In addition to several commonly used distributions …,,"https://scholar.google.com/scholar?q=related:PShmqQuyWU4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
76,"LAG Da Gbadji, B Gailly, ...",International analysis of venture capital programs of large corporations and financial institutions,2015,Entrepreneurship Theory and Practice,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1111/etap.12105,"https://scholar.google.com/scholar?cites=5232668423953143904&as_sdt=2005&sciodt=0,5&hl=en",24,23/03/2024 21:21,,10.1111/etap.12105,,,,,,,76,8.44,25,3,9,"In this article, we investigate what drives large companies (nonfinancial corporations and financial institutions) worldwide to run venture capital (VC) programs, specifically targeting …",https://scholar.archive.org/work/hbanc7zvjjhhjjffo7rvecdzte/access/wayback/http://www.fma.org:80/Atlanta/Papers/FORT500FMA.pdf,"https://scholar.google.com/scholar?q=related:YFghLTUsnkgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
32,"L Renneboog, Y Zhao","Director networks, turnover, and appointments",2020,European Financial Management,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/eufm.12213,"https://scholar.google.com/scholar?cites=15228298314364728809&as_sdt=2005&sciodt=0,5&hl=en",8,07/04/2024 16:19,,10.1111/eufm.12213,,,,,,,32,8.0,16,2,4,This paper analyzes the labor market (turnover and appointments) of executive and non?executive directors by means of social network methodology. We find that directors with …,https://research.tilburguniversity.edu/files/77195456/Euro_Fin_Management_-_2019_-_Renneboog.pdf,"https://scholar.google.com/scholar?q=related:6bVjSaLIVdMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"R Calcagno, E de Bodt…",Takeover duration and negotiation process,2021,European Financial Management,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/eufm.12331,"https://scholar.google.com/scholar?cites=16072922146653028588&as_sdt=2005&sciodt=0,5&hl=en",7,07/04/2024 15:23,,10.1111/eufm.12331,,,,,,,6,2.0,2,3,3,"We study the relations between takeover negotiations duration, competition and learning, focusing on the private phase of bidder?initiated transactions. While the negotiation goes on …",https://www.amse-aixmarseille.fr/sites/default/files/events/duration_of_takeover_process-1.pdf,"https://scholar.google.com/scholar?q=related:7EDDzYh9Dt8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
68,"M Do?an, F Yildiz",The impact of the board of directors' size on the bank's performance: Evidence from Turkey,2013,European Journal of Business and Management,academia.edu,https://www.academia.edu/download/31072820/The_Impact_of_the_Board_of_Directors_Size_on_the_Banks_Performance.pdf,"https://scholar.google.com/scholar?cites=8283954764384229161&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:36,PDF,,,,,,,,68,6.18,34,2,11,The present study investigates the impact of board of directors' size on bank performance on a sample of 12 banks' data that were involved in the Istanbul Stock Exchange (ISE) over the …,https://www.academia.edu/download/31072820/The_Impact_of_the_Board_of_Directors_Size_on_the_Banks_Performance.pdf,"https://scholar.google.com/scholar?q=related:KdeGyveE9nIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
51,"C Bernard, S Vanduffel",Mean–variance optimal portfolios in the presence of a benchmark with applications to fraud detection,2014,European Journal of Operational Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0377221713005110,"https://scholar.google.com/scholar?cites=3084155915668393964&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:37,,,,,,,,,51,5.1,26,2,10,We first study mean–variance efficient portfolios when there are no trading constraints and show that optimal strategies perform poorly in bear markets. We then assume that investors …,https://www.researchgate.net/profile/Steven-Vanduffel/publication/253236179_Mean-Variance_Optimal_Portfolios_in_the_Presence_of_a_Benchmark_with_Applications_to_Fraud_Detection/links/5cf227b392851c4dd01f8308/Mean-Variance-Optimal-Portfolios-in-the-Presence-of-a-Benchmark-with-Applications-to-Fraud-Detection.pdf,"https://scholar.google.com/scholar?q=related:7I9V-XYfzSoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"MN López-García, JE Trinidad-Segovia…",Extending the Fama and French model with a long term memory factor,2021,European Journal of Operational Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0377221719306502,"https://scholar.google.com/scholar?cites=10826046258082652613&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:24,,,,,,,,,26,8.67,9,3,3,"In this paper, a new long-term memory factor for extending the well-known Fama and French model is proposed and discussed thoroughly. The new long-term memory factor is based on …",https://www.researchgate.net/profile/Juan-Trinidad-Segovia/publication/335014909_Extending_the_Fama_and_French_model_with_a_long_term_memory_factor/links/5d7a6cb44585157fde0fd0dc/Extending-the-Fama-and-French-model-with-a-long-term-memory-factor.pdf,"https://scholar.google.com/scholar?q=related:xaH2frbXPZYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
