Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
65,"H Naffa, M Fain",Performance measurement of ESG-themed megatrend investments in global equity markets using pure factor portfolios methodology,2020,PloS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244225,"https://scholar.google.com/scholar?cites=2915564785180420955&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:24,HTML,,,,,,,,65,16.25,33,2,4,"ESG factors are becoming mainstream in portfolio investment strategies, attracting increasing fund inflows from investors who are aligning their investment values to …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244225,"https://scholar.google.com/scholar?q=related:WytRjLkqdigJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
29,"FÉ Racicot, WF Rentz, D Tessier, R Theoret",The conditional Fama-French model and endogenous illiquidity: A robust instrumental variables test,2019,PloS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221599,"https://scholar.google.com/scholar?cites=4276313181526853753&as_sdt=2005&sciodt=0,5&hl=en",6,07/04/2024 15:24,HTML,,,,,,,,29,5.8,7,4,5,"We investigate conditional specifications of the five-factor Fama-French (FF) model, augmented with traditional illiquidity measures. The motivation for this time-varying …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221599,"https://scholar.google.com/scholar?q=related:eYg6hS6EWDsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"J Rojo-Suárez, AB Alonso-Conde",Impact of consumer confidence on the expected returns of the Tokyo Stock Exchange: A comparative analysis of consumption and production-based asset …,2020,PloS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241318,"https://scholar.google.com/scholar?cites=11892080776069177790&as_sdt=2005&sciodt=0,5&hl=en",12,07/04/2024 15:24,HTML,,,,,,,,9,2.25,5,2,4,"Most single-factor and multifactor asset pricing models constitute special cases of the consumption-based asset pricing theory, in which investors' marginal utility is the key …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241318,"https://scholar.google.com/scholar?q=related:vuHaeXUoCaUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
197,"J Gilligan, M Wright",Private equity demystified: An explanatory guide,2020,Private Equity Demystified: An Explanatory Guide,books.google.com,https://books.google.com/books?hl=en&lr=&id=GocEEAAAQBAJ&oi=fnd&pg=PP1&ots=iv7e6eM2ce&sig=MgO20CdYyOtPSKEU5_ovoxOw-bM,"https://scholar.google.com/scholar?cites=14165862543212248891&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:50,BOOK,,,,,,,,197,49.25,99,2,4,"This book deals with risk capital provided for established firms outside the stock market, private equity, which has grown rapidly over the last three decades, yet is largely poorly …",https://www.psers.pa.gov/About/Investment/Documents/PPMAIRC%202018/18%20Private%20equity%20demystified.pdf,"https://scholar.google.com/scholar?q=related:O38t2e1Al8QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
49,"S Talwar, M Talwar, V Tarjanne…",Why retail investors traded equity during the pandemic? An application of artificial neural networks to examine behavioral biases,2021,Psychology & Marketing,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/mar.21550,"https://scholar.google.com/scholar?cites=12462445954173453259&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:24,,10.1002/mar.21550,,,,,,,49,16.33,12,4,3,"Behavioral biases are known to influence the investment decisions of retail investors. Indeed, extant research has revealed interesting findings in this regard. However, the …",https://onlinelibrary.wiley.com/doi/pdf/10.1002/mar.21550,"https://scholar.google.com/scholar?q=related:y0MDA5GA86wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
44,"SA Zahera, R Bansal",A study of prominence for disposition effect: a systematic review,2019,Qualitative Research in Financial Markets,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/QRFM-07-2018-0081/full/html,"https://scholar.google.com/scholar?cites=15495489826017579995&as_sdt=2005&sciodt=0,5&hl=en",2,23/03/2024 21:50,,10.1108/QRFM-07-2018-0081,,,,,,,44,8.8,22,2,5,Purpose The purpose of this paper is to study the disposition effect that is exhibited by the investors through the review of research articles in the area of behavioral finance. When the …,https://www.researchgate.net/profile/Zahera-Syed/publication/333090399_A_study_of_prominence_for_disposition_effect_a_systematic_review/links/5d8112a3458515fca171095e/A-study-of-prominence-for-disposition-effect-a-systematic-review.pdf,"https://scholar.google.com/scholar?q=related:2xN17OUJC9cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
31,"C Bernard, F Moraux, L Rüschendorf, ...",Optimal payoffs under state-dependent preferences,2015,Quantitative Finance,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/14697688.2014.981576,"https://scholar.google.com/scholar?cites=13120599114977151635&as_sdt=2005&sciodt=0,5&hl=en",11,23/03/2024 21:37,,10.1080/14697688.2014.981576,,,,,,,31,3.44,8,4,9,"Most decision theories, including expected utility theory, rank-dependent utility theory and cumulative prospect theory, assume that investors are only interested in the distribution of …",https://arxiv.org/pdf/1308.6465,"https://scholar.google.com/scholar?q=related:k4qEEGG7FbYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
126,"M Adusei, EYT Obeng",Board gender diversity and the capital structure of microfinance institutions: A global analysis,2019,Quarterly Review of Economics and Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S1062976918301169,"https://scholar.google.com/scholar?cites=1553600228585514580&as_sdt=2005&sciodt=0,5&hl=en",1,07/04/2024 15:21,,,,,,,,,126,25.2,63,2,5,"As far as we know, the question of whether increasing gender diversity on boards of microfinance institutions carries any implications for their financing decisions has not been …",https://www.academia.edu/download/58697741/adusei_band_obeng_2019.pdf,"https://scholar.google.com/scholar?q=related:VCbOMy1_jxUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"W Breuer, C Nadler",Real estate and real estate finance as a research field—an international overview,2012,Real Estate Finance,Springer,https://link.springer.com/chapter/10.1007/978-3-8349-3864-0_2,"https://scholar.google.com/scholar?cites=6985017554679955138&as_sdt=2005&sciodt=0,5&hl=en",19,23/03/2024 21:38,,10.1007/978-3-8349-3864-0_2,,,,,,,17,1.42,9,2,12,"We present a citation-based analysis of the most important journals on real estate and real estate finance over a time period from 1986 to 2010. For each year, those three articles with …",https://ires.architexturez.net/system/files/pdf/eres2011_126.content.09049.pdf,"https://scholar.google.com/scholar?q=related:wv6QMHXE72AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"A Dardour, R Boussaada, S Yekini, ...",The determinants of CEO turnover: Evidence from France,2018,Recherches en Sciences de Gestion,cairn.info,https://www.cairn.info/revue-recherches-en-sciences-de-gestion-2018-6-page-29.htm,"https://scholar.google.com/scholar?cites=14503077968592270865&as_sdt=2005&sciodt=0,5&hl=en",10,07/04/2024 16:19,HTML,,,,,,,,14,2.33,4,4,6,"We investigate the effect of corporate performance, ownership structure and other governance mechanisms on CEO turnover. Based on data from 153 French listed firms …",https://www.cairn.info/revue-recherches-en-sciences-de-gestion-2018-6-page-29.htm,"https://scholar.google.com/scholar?q=related:EXa8Y5JIRckJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
